"Dato";"Valør";"Tekst";"";"Beløb";"Saldo";"Egen bilagsreference"
"09.01.2025";"09.01.2025";"viabill";"";"-13.208,39";"805.994,07";""
"09.01.2025";"09.01.2025";"OK Beniz";"";"-3.547,71";"802.446,36";""
"09.01.2025";"09.01.2025";"Telenor";"";"-4.399,00";"798.047,36";""
"09.01.2025";"09.01.2025";"Collectia";"";"-1.833,00";"796.214,36";""
"09.01.2025";"09.01.2025";"Larsen og Jakobsen Fakturanr. 15090";"";"-9.875,00";"786.339,36";""
"09.01.2025";"09.01.2025";"europark";"";"-975,00";"785.364,36";""
"09.01.2025";"09.01.2025";"EuroIncasso";"";"-1.789,99";"783.574,37";""
"09.01.2025";"09.01.2025";"MCD 00652 BILKA TILST";"";"-333,65";"783.240,72";""
"09.01.2025";"09.01.2025";"Telenor restbetaling";"";"-6.810,56";"776.430,16";""
"09.01.2025";"09.01.2025";"TravelLink";"";"-4.395,82";"772.034,34";""
"10.01.2025";"10.01.2025";"BS AURA A/S - FIBER";"";"-299,00";"771.735,34";""
"10.01.2025";"10.01.2025";"MCD 00654 CIRCLE K TILST";"";"-25,00";"771.710,34";""
"10.01.2025";"10.01.2025";"MCD 00655 CIRCLE K TILST";"";"-67,00";"771.643,34";""
"10.01.2025";"10.01.2025";"MCD 00653 CIRCLE K TILST";"";"-118,00";"771.525,34";""
"13.01.2025";"13.01.2025";"Booking";"";"-2.500,00";"769.025,34";""
"13.01.2025";"13.01.2025";"MCD 00656 Q8 Låsby 8205";"";"-69,95";"768.955,39";""
"13.01.2025";"13.01.2025";"MCD 00657 Q8 Låsby 8205";"";"-69,95";"768.885,44";""
"13.01.2025";"13.01.2025";"MCD 00658 CIRCLE K TILST";"";"-117,00";"768.768,44";""
"13.01.2025";"13.01.2025";"MCD 00660 CIRCLE K TILST";"";"-1,00";"768.767,44";""
"13.01.2025";"13.01.2025";"MCD 00659 CIRCLE K TILST";"";"-322,00";"768.445,44";""
"13.01.2025";"13.01.2025";"MCD 00661 MCDONALDS HURGHADA 2 500,00 EGP kurs: 14,460000";"";"-74,04";"768.371,40";""
"14.01.2025";"14.01.2025";"LS 28924 VISMA E-CONOMIC A/S";"";"-1.308,75";"767.062,65";""
"14.01.2025";"14.01.2025";"MCD 00664 IMO Tilst";"";"-259,00";"766.803,65";""
"14.01.2025";"14.01.2025";"MCD 00663 YouSee Aarhus Nord 796";"";"-608,00";"766.195,65";""
"14.01.2025";"14.01.2025";"MCD 00662 AXEL KAUFMANN A";"";"-2.999,00";"763.196,65";""
"14.01.2025";"14.01.2025";"Overførsel";"";"-31,25";"763.165,40";""
"15.01.2025";"15.01.2025";"MCD 00667 SINTRA 15,60 USD kurs: 733,141000";"";"-117,11";"763.048,29";""
"15.01.2025";"15.01.2025";"MCD 00665 HERSKIND BRUGS";"";"-221,25";"762.827,04";""
"15.01.2025";"15.01.2025";"MCD 00666 Wolt";"";"-448,25";"762.378,79";""
"16.01.2025";"16.01.2025";"MCD 00668 THANSEN GRUPPEN";"";"-707,95";"761.670,84";""
"17.01.2025";"17.01.2025";"MCD 00671 Wolt";"";"-253,79";"761.417,05";""
"17.01.2025";"17.01.2025";"MCD 00670 Wolt";"";"-396,65";"761.020,40";""
"17.01.2025";"17.01.2025";"MCD 00669 CIRCLE K TILST";"";"-672,54";"760.347,86";""
"20.01.2025";"20.01.2025";"MCD 00672 7-ELEVEN BUTIK";"";"-92,00";"760.255,86";""
"22.01.2025";"22.01.2025";"LS 38393 DANFOODS APS";"";"-484,63";"759.771,23";""
